time,CWND
173.033556,2.50
173.044624,3.00
173.058108,3.50
173.059207,4.00
173.070980,4.50
173.072187,5.00
173.073319,5.50
173.085334,6.00
173.710116,1.00
174.031255,1.00
174.072591,1.00
174.072747,1.00
174.084606,2.00
174.084686,1.00
174.084798,1.00
174.084855,1.00
175.073971,1.00
175.084215,1.00
175.084337,1.00
175.084370,1.00
175.095541,2.00
175.110761,2.50
175.123742,3.00
175.136275,3.50
175.138502,4.00
175.430024,1.00
175.582996,1.00
175.825419,1.00
176.139273,1.00
176.139510,1.00
176.151336,2.00
176.166006,2.50
176.426541,1.00
176.563551,1.00
176.784187,1.00
177.352926,1.00
177.563391,1.00
177.575754,2.00
178.577328,1.00
178.577535,1.00
178.577613,1.00
178.593124,2.00
179.594034,1.00
179.594147,1.00
179.594177,1.00
179.605551,2.00
179.621404,2.50
179.634283,3.00
179.646720,3.50
179.772420,1.00
179.784250,2.00
179.840507,1.00
179.955916,1.00
180.109312,1.00
180.533922,1.00
180.955600,1.00
181.109959,1.00
181.534126,1.00
181.955479,1.00
182.110963,1.00
182.534622,1.00
182.546612,2.00
183.547905,1.00
183.548082,1.00
183.548158,1.00
184.549365,1.00
184.549600,1.00
184.549668,1.00
184.561565,2.00
184.579299,2.50
184.593561,3.00
184.607166,3.50
184.621201,4.00
184.633791,4.50
184.636848,5.00
184.638138,5.50
184.646009,6.00
184.648929,6.50
184.651105,7.00
184.687958,1.00
184.715319,1.00
184.726191,2.00
184.761119,1.00
184.818189,1.00
184.906010,1.00
185.037363,1.00
185.048637,2.00
